id,statusList,epoca,dataList,horaList,comentariosList,ok,detErro,statusDet,dataDet,horaDet,comentariosDetHtml,comentariosCanon,comentCanonErro,dataDivergente,dataDeltaDias,horaDivergente,horaDeltaMin,comentDivergente,comentZeroEspurio
36049,encerrado,recente,2025-10-14,14:30,0,true,,encerrado,2025-10-14,14:30,0,21,,false,0,false,0,true,true
36265,cancelado,recente,2025-10-22,10:30,0,true,,cancelado,2025-10-22,10:30,0,56,,false,0,false,0,true,true
37629,encerrado,recente,2026-02-26,09:35,0,true,,encerrado,2026-02-26,09:00,0,59,,false,0,true,35,true,true
38167,encerrado,recente,2026-04-15,09:25,0,true,,encerrado,2026-04-15,09:00,0,24,,false,0,true,25,true,true
38311,cancelado,recente,2026-05-28,09:30,0,true,,cancelado,2026-05-28,09:30,0,62,,false,0,false,0,true,true
39349,agendado,sem-data,,,0,true,,agendado,2026-07-07,11:30,0,21,,,,,,true,true
39590,agendado,recente,2026-07-07,10:00,17,true,,agendado,2026-07-07,10:00,0,17,,false,0,false,0,false,false
39610,agendado,recente,2026-07-06,09:30,35,true,,agendado,2026-07-06,09:30,0,35,,false,0,false,0,false,false
39630,agendado,recente,2026-07-06,14:00,38,true,,agendado,2026-07-06,14:00,0,38,,false,0,false,0,false,false
39730,agendado,recente,2026-07-06,10:00,49,true,,agendado,2026-07-06,10:00,0,52,,false,0,false,0,true,false
39750,agendado,recente,2026-07-08,14:30,1,true,,agendado,2026-07-08,14:30,0,1,,false,0,false,0,false,false
39770,agendado,recente,2026-07-06,14:30,36,true,,agendado,2026-07-06,14:30,0,36,,false,0,false,0,false,false
